drugbank_id,drug_name,fda_app_n,atc_codes
DB10906,Sugarcane,BLA102223,
DB10907,Sunflower seed,BLA102192|BLA102223,
DB10908,Platanus hybrida pollen,BLA102223,
DB10909,Artemisia californica pollen,BLA102211|BLA102223|BLA102223,
DB10910,Helianthus annuus pollen,BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA102211|BLA102223|BLA101376,
DB10911,Carpinus caroliniana pollen,BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223,
DB10912,Picea pungens pollen,BLA102223|BLA101376|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223,
DB10913,"Starch, tapioca",BLA102223,
DB10914,Larix occidentalis pollen,BLA102223,
DB10915,Trichophyton rubrum,BLA103888|BLA103888|BLA103888|BLA102211|BLA102211|BLA102223|BLA102223|BLA102223|BLA102223|BLA101833|BLA101833|BLA102223|BLA102211|BLA101833|BLA101376,
DB10916,Salix lucida ssp. lasiandra pollen,BLA102223|BLA102223|BLA102223,
DB10917,Cedar oil,BLA102223,
DB10918,Venison,BLA102223,
DB10919,Black walnut,BLA103753|BLA102192|BLA101833|BLA102223|BLA103888|BLA103888,
DB10921,Artemisia dracunculus pollen,BLA102223|BLA102223|BLA101376,
DB10922,Pinus banksiana pollen,BLA102223,
DB10923,Pinus resinosa pollen,BLA102223,
DB10924,Pinus nigra pollen,BLA101376|BLA102223,
DB10925,Pinus thunbergii pollen,BLA102223,
DB10926,Carya tomentosa pollen,BLA101376|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102192|BLA102192|BLA102192|BLA102192|BLA102192|BLA102192|BLA102192|BLA102192|BLA102223|BLA101833|BLA101833|BLA101376|BLA102211|BLA101833,
