,DrugBank_id,Drug_ATC,Drug_name,Tipo,Gene_name,Accion,Prioridad
417730,DB03964,,4-Hydroxy-Aconitate Ion,target,ACO2,,1.0
417731,DB03966,,Clorobiocin,target,TOP2B,inhibitor,1.0
417732,DB03966,,Clorobiocin,target,TOP2A,inhibitor,1.0
417733,DB03966,,Clorobiocin,target,gyrB,,1.0
417734,DB03967,,Dodecyl sulfate,target,LYZ,,1.0
417735,DB03967,,Dodecyl sulfate,target,pagP,,1.0
417736,DB03968,,"1-Methyl-2-Oxy-5,5-Dimethyl Pyrrolidine",target,REN,inhibitor,1.0
417737,DB03970,,"(7R)-7-(6,7-Dihydro-5H-cyclopenta[d]imidazo[2,1-b][1,3]thiazol-2-yl)-2,7-dihydro-1,4-thiazepine-3,6-dicarboxylic acid",target,bla,,1.0
417738,DB03970,,"(7R)-7-(6,7-Dihydro-5H-cyclopenta[d]imidazo[2,1-b][1,3]thiazol-2-yl)-2,7-dihydro-1,4-thiazepine-3,6-dicarboxylic acid",target,ampC,,1.0
417740,DB03971,,Acarbose Derived Hexasaccharide,target,amyM,,1.0
417741,DB03971,,Acarbose Derived Hexasaccharide,target,AMY2A,ligand,1.0
417742,DB03973,,"3-[2,6,8-Trioxo-9-[(2R,3R,4R)-2,3,4,5-tetrahydroxypentyl]-3H-purin-7-yl]propyl dihydrogen phosphate",target,ribH,,1.0
417743,DB03974,,L-homoarginine,target,NOS3,inhibitor,1.0
417744,DB03975,,Mercuribenzoic Acid,target,CA2,inhibitor,1.0
417745,DB03975,,Mercuribenzoic Acid,target,cutA,,1.0
417746,DB03976,,Phosphorylisopropane,target,PRSS2,,1.0
417747,DB03976,,Phosphorylisopropane,target,CTRB1,,1.0
417748,DB03976,,Phosphorylisopropane,target,PRSS1,,1.0
417749,DB03976,,Phosphorylisopropane,target,,,1.0
417750,DB03977,,Trimethyllysine,target,CALM3,inhibitor,1.0
417751,DB03977,,Trimethyllysine,target,CALM2,inhibitor,1.0
417752,DB03977,,Trimethyllysine,target,CALM1,inhibitor,1.0
417753,DB03977,,Trimethyllysine,target,CYCS,,1.0
417754,DB03977,,Trimethyllysine,target,CALM1,,1.0
417755,DB03978,,Tyrosinal,target,YARS,,1.0
417756,DB03978,,Tyrosinal,target,YARS1,,1.0
417757,DB03978,,Tyrosinal,target,tyrS,,1.0
417758,DB03978,,Tyrosinal,target,pcp,,1.0
417759,DB03979,,1-[Glycerolylphosphonyl]-2-[8-(2-Hexyl-Cyclopropyl)-Octanal-1-Yl]-3-[Hexadecanal-1-Yl]-Glycerol,target,hmp,,1.0
417760,DB03980,,4-(Fluorophenyl)-1-Cyclopropylmethyl-5-(2-Amino-4-Pyrimidinyl)Imidazole,target,MAPK14,inhibitor,1.0
417761,DB03981,,"1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid",target,FGF2,,1.0
417762,DB03981,,"1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid",target,HS3ST3A1,,1.0
417763,DB03981,,"1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid",target,ANXA5,,1.0
417764,DB03982,,"Compound 5, 2-(Naphthalen-1-Yl-Oxalyl-Amino)-Benzoicacid",target,PTPN1,,1.0
417765,DB03983,,"{[2-Amino-4-oxo-6,7-di(sulfanyl-κS)-3,5,5a,8,9a,10-hexahydro-4H-pyrano[3,2-g]pteridin-8-yl]methyl dihydrogenato(2-) phosphate}(dioxo)sulfanylmolybdenum",target,SUOX,,1.0
417766,DB03984,,Morpholine-4-Carboxylic Acid [1-(2-Benzylsulfanyl-1-Formyl-Ethylcarbamoyl)-2-Phenyl-Ethyl]-Amide,target,CTSS,,1.0
417767,DB03986,,6-methyl-formycin A,target,deoD,,1.0
417768,DB03987,,"2,4-Diamino-6-[N-(3',5'-Dimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine",target,DHFR,,1.0
417769,DB03987,,"2,4-Diamino-6-[N-(3',5'-Dimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine",target,,,1.0
417770,DB03988,,"2,6-Diamino-Hexanoic Acid Amide",target,ADCYAP1,,1.0
417771,DB03989,,D-Allopyranose,target,alsB,,1.0
417772,DB03991,,"2-deoxy-2,3-dehydro-N-acetylneuraminic acid",target,HN,,1.0
417773,DB03991,,"2-deoxy-2,3-dehydro-N-acetylneuraminic acid",target,nedA,,1.0
417774,DB03991,,"2-deoxy-2,3-dehydro-N-acetylneuraminic acid",target,,,1.0
417776,DB03991,,"2-deoxy-2,3-dehydro-N-acetylneuraminic acid",target,NEU2,,1.0
417777,DB03993,,Isocaproic acid,target,ilvE,,1.0
417778,DB03994,,Ethanolamine,target,nspA,,1.0
417779,DB03994,,Ethanolamine,target,ANXA3,,1.0
417780,DB03995,,Betadex,target,tvaII,,1.0
417781,DB03995,,Betadex,target,malE,,1.0
417782,DB03995,,Betadex,target,,,1.0
417783,DB03996,,"3-[(5s)-1-Acetyl-3-(2-Chlorophenyl)-4,5-Dihydro-1h-Pyrazol-5-Yl]Phenol",target,KIF11,,1.0
417784,DB03997,,L-histidinol phosphate,target,hisC,,1.0
417786,DB03999,,Butylphosphonate,target,lip,,1.0
417787,DB04000,,Bromo-Willardiine,target,GRIA2,,1.0
417788,DB04001,,6-(Oxalyl-Amino)-1h-Indole-5-Carboxylic Acid,target,PTPN1,inhibitor,1.0
417789,DB04002,,4-Sulfonamide-[4-(Thiomethylaminobutane)]Benzamide,target,CA2,,1.0
417790,DB04003,,{4-[(2S)-2-Acetamido-3-({(1S)-1-[3-carbamoyl-4-(cyclohexylmethoxy)phenyl]ethyl}amino)-3-oxopropyl]-2-phosphonophenoxy}acetic acid,target,LCK,,1.0
417791,DB04004,,"2,6-Diamino-8-(2-Dimethylaminoethylsulfanylmethyl)-3h-Quinazolin-4-One",target,tgt,,1.0
417792,DB04005,,Uridine 5'-triphosphate,target,P2RY2,modulator,1.0
417793,DB04005,,Uridine 5'-triphosphate,target,P2RY6,agonist,1.0
417794,DB04005,,Uridine 5'-triphosphate,target,P2RY4,agonist,1.0
417795,DB04005,,Uridine 5'-triphosphate,target,P2RY11,agonist,1.0
417796,DB04005,,Uridine 5'-triphosphate,target,UCK2,,1.0
417797,DB04005,,Uridine 5'-triphosphate,target,,,1.0
417799,DB04006,,"[2-Amino-6-(2,6-Difluoro-Benzoyl)-Imidazo[1,2-a]Pyridin-3-Yl]-Phenyl-Methanone",target,CDK2,,1.0
417800,DB04007,,Bromo-WR99210,target,PDF,inhibitor,1.0
417801,DB04007,,Bromo-WR99210,target,folA,,1.0
417802,DB04008,,Zinc;[amino-[2-[[5-[amino(azaniumylidene)methyl]benzimidazol-1-id-2-yl]methyl]benzimidazol-1-id-5-yl]methylidene]azanium,target,PRSS1,,1.0
417803,DB04009,,Dimethyl Propionate Ester Heme,target,CYB5A,,1.0
417804,DB04010,,2-(3'-Methoxyphenyl) Benzimidazole-4-Carboxamide,target,PARP1,inhibitor,1.0
417805,DB04012,,"(3r)-4-(P-Toluenesulfonyl)-1,4-Thiazane-3-Carboxylicacid-L-Leucine",target,FKBP1A,,1.0
417806,DB04013,,1-Deoxy-1-methoxycarbamido-beta-D-gluco-2-heptulopyranosonamide,target,PYGM,,1.0
417807,DB04014,,Alsterpaullone,target,CDK5,inhibitor,1.0
417808,DB04014,,Alsterpaullone,target,CDK1,inhibitor,1.0
417809,DB04014,,Alsterpaullone,target,CDK2,inhibitor,1.0
417810,DB04014,,Alsterpaullone,target,GSK3B,,1.0
417811,DB04015,,Methionine Phosphinate,target,metG,,1.0
417812,DB04015,,Methionine Phosphinate,target,map,,1.0
417813,DB04016,,2-[3-({Methyl[1-(2-Naphthoyl)Piperidin-4-Yl]Amino}Carbonyl)-2-Naphthyl]-1-(1-Naphthyl)-2-Oxoethylphosphonic Acid,target,CTSG,,1.0
417814,DB04016,,2-[3-({Methyl[1-(2-Naphthoyl)Piperidin-4-Yl]Amino}Carbonyl)-2-Naphthyl]-1-(1-Naphthyl)-2-Oxoethylphosphonic Acid,target,CMA1,,1.0
417815,DB04017,,Clorgiline,target,MAOA,inhibitor,1.0
417816,DB04018,,S-Isopropyl-Isothiourea,target,NOS3,inhibitor,1.0
417817,DB04020,,"4-(2-{[4-{[3-(4-Chlorophenyl)Propyl]Sulfanyl}-6-(1-Piperazinyl)-1,3,5-Triazin-2-Yl]Amino}Ethyl)Phenol",target,ESR2,,1.0
417818,DB04021,,MF268,target,ACHE,inhibitor,1.0
417819,DB04022,,Guanosine tetraphosphate,target,LACZ,inhibitor,1.0
417820,DB04022,,Guanosine tetraphosphate,target,xpt,,1.0
417821,DB04022,,Guanosine tetraphosphate,target,obg,,1.0
417822,DB04023,,GDP-alpha-D-mannuronic acid,target,algD,,1.0
417823,DB04024,,Serine-3'-aminoadenosine,target,thrS,,1.0
417824,DB04027,,D-arginine,target,CKM,,1.0
417825,DB04028,,Tyvelose,target,9,,1.0
417826,DB04029,,Phenylalanylamide,target,TACR1,inhibitor,1.0
417827,DB04029,,Phenylalanylamide,target,,,1.0
417829,DB04029,,Phenylalanylamide,target,daaA,,1.0
417830,DB04030,,"1,3,4,9-Tetrahydro-2-(Hydroxybenzoyl)-9-[(4-Hydroxyphenyl)Methyl]-6-Methoxy-2h-Pyrido[3,4-B]Indole",target,fabI,,1.0
417831,DB04031,,Serine vanadate,target,phoA,,1.0
